SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
external/system	GGML_CUDA_DISABLE_GRAPHS	Pure presence flag cached on first is_enabled() call; any defined value, including empty or "0", disables. Unset permits CUDA graphs unless the GPU architecture independently disables them; relevant only when compiled with USE_CUDA_GRAPH.	Disable vendored GGML CUDA graph capture/replay and execute through the ordinary CUDA path.	cuda/mmq/common.cuh:1208
external/system	HOME	Filesystem directory string. In ds4-agent, unset or empty falls back to "." for the default cache and history roots; the web helper applies the same fallback for its browser profile. A nonempty value roots .ds4/kvcache, .ds4_agent_history and .ds4/browser.	Choose the user's persistent ds4-agent cache, line-history and Chrome-profile base directory.	ds4_agent.c:4023
external/system	LINENOISE_ASSUME_TTY	Pure presence test flag: any defined value, including empty or "0", treats non-TTY input as interactive while skipping real termios raw-mode setup/restoration. Unset follows isatty and uses plain blocking line input for pipes.	Exercise the live linenoise/agent editor, prompt and status layout in automated pipe-based tests without a real terminal.	linenoise.c:593
external/system	LINENOISE_COLS	If defined, its value is returned directly through atoi with no validation: empty/nonnumeric becomes 0 and signed values are accepted. If unset, linenoise uses TIOCGWINSZ, then a cursor-position query, then fallback width 80.	Force a deterministic terminal column count for linenoise wrapping/layout tests.	linenoise.c:684
external/system	PATH	Colon-separated executable search directories consulted only after DS4_CHROME, macOS app paths and fixed Chrome/Chromium paths fail. The first executable google-chrome, google-chrome-stable, chromium or chromium-browser wins; unset/empty/no match falls back to the literal command google-chrome, which execlp may search again.	Locate a Chrome/Chromium executable for the ds4 web/CDP tool.	ds4_web.c:992
external/system	TERM	Case-insensitive terminal name. Values dumb, cons25, or emacs select linenoise's simple prompt plus blocking line reader; unset, empty, or any other value selects the normal interactive editor when stdin is a TTY.	Avoid ANSI/raw interactive editing on terminal types known not to support the required escape sequences.	linenoise.c:559
runtime/bench	DS4_BENCH_DISABLE_SNAPSHOT	presence flag; unset allows snapshots for eligible frontiers	Disable benchmark state snapshots.	ds4_bench.c:720
runtime/bench	DS4_BENCH_FORCE_SNAPSHOT	presence flag; unset obeys the normal size/eligibility checks	Force benchmark state snapshots despite the normal limit.	ds4_bench.c:723
runtime/bench	DS4_BENCH_SNAPSHOT_MAX_BYTES	unsigned bytes or unlimited/inf; default DS4_BENCH_DEFAULT_SNAPSHOT_MAX_BYTES	Limit session snapshot size during benchmark sweeps.	ds4_bench.c:70
runtime/cli	DS4_CLI_FORCE_SESSION	Pure presence flag: any defined value, including empty or "0", forces the session path. Unset uses the session path only for distributed coordinators, TP leaders, temperature>0, or MTP depth>1; otherwise the CLI calls direct argmax generation.	Force ordinary CLI generation through run_sampled_generation/session APIs so single-node validation follows the same stateful path as TP/distributed runs.	ds4_cli.c:1226
runtime/core	DS4_BATCHED_FFN	Pure presence flag: any defined value, including empty or "0", enables. Unset leaves the default shared-expert-batched FFN path (or its configured fallback). It is read only by CPU layer-major prefill and takes precedence over shared-batch and token-parallel FFN choices.	Run the complete CPU prefill FFN in chunks through layer_ffn_batch instead of the default shared-expert-only batched path.	ds4.c:14411
runtime/core	DS4_BATCHED_ROPE_MAX	Nonempty value parsed by strtol without full-string validation; integers 0..65536 are accepted, otherwise default 4096. Zero disables batched RoPE for every nonempty prompt. Effective only when prefix batch attention is selected and DS4_NO_BATCHED_ROPE is absent.	Set the largest CPU prefix-prefill token batch that applies RoPE and inverse RoPE with the batched kernels.	ds4.c:13911
runtime/core	DS4_DECODE_PROFILE_DETAIL	presence flag; unset=off	Print per-stage timing for the single-token CPU FFN path.	ds4.c:12209
runtime/core	DS4_DISABLE_GREEDY_TOP1_READBACK	presence rollback; unset uses device top-1 plus a 4-byte readback for eligible single-tier greedy generation, including SSD streaming; any defined value including empty or 0 restores full-logits readback and CPU argmax	Restore the legacy per-token full-logits host readback for greedy generation A/B and emergency rollback.	ds4.c:51964
runtime/core	DS4_EXPERT_HOTLIST	nonempty filesystem path; unset=off; currently Metal-only	Load an expert hotlist for Metal expert profiling/streaming.	ds4.c:60637
runtime/core	DS4_EXPERT_PROFILE	presence diagnostic flag; unset=off	Collect timing/profile diagnostics for expert profile.	ds4.c:60635
runtime/core	DS4_LOCK_FILE	path string; default /tmp/ds4.lock	Override the single-instance lock file.	ds4.c:52260
runtime/core	DS4_NO_BATCHED_ATTN	presence rollback flag; unset keeps default/optimized path	Disable/roll back no batched attn.	ds4.c:14410
runtime/core	DS4_NO_BATCHED_ROPE	presence rollback flag; unset keeps default/optimized path	Disable/roll back no batched rope.	ds4.c:13918
runtime/core	DS4_NO_PARALLEL_ATTN_ROWS	presence rollback flag; unset keeps default/optimized path	Disable/roll back no parallel attn rows.	ds4.c:13904
runtime/core	DS4_NO_ROUTED_TOKEN_PARALLEL	presence rollback flag; unset keeps default/optimized path	Disable/roll back no routed token parallel.	ds4.c:12588
runtime/core	DS4_NO_SHARED_BATCH_FFN	presence rollback flag; unset keeps default/optimized path	Disable/roll back no shared batch ffn.	ds4.c:14413
runtime/core	DS4_ORACLE_LOGITS	filesystem path; unset disables read/write	Load reference logits for graph correctness comparison.	ds4.c:39056
runtime/core	DS4_PARALLEL_ATTN_ROWS	Pure presence opt-in; any defined value enables the preference, but DS4_NO_PARALLEL_ATTN_ROWS overrides it. The path is eligible only for prefix prefill with cache n_raw==0 and pos0==0; unset uses per-token attention rows.	Batch/parallelize CPU prefix attention-row evaluation after cache/index preparation.	ds4.c:13901
runtime/core	DS4_PARALLEL_FFN	Pure presence opt-in. It is effective only in CPU prefill when batched attention is enabled, DS4_BATCHED_FFN is absent, and the default shared-batch path has been disabled with DS4_NO_SHARED_BATCH_FFN; otherwise higher-priority paths win.	Run independent prompt-token FFNs through layer_ffn_tokens_parallel as the fallback after disabling shared batching.	ds4.c:14412
runtime/core	DS4_PREFILL_BATCH	Nonempty value parsed by strtol without full-string validation; accepted range 1..4095, default 128 for unset/invalid/out-of-range values. It is used only when DS4_BATCHED_FFN selects full batched CPU FFN.	Set the token chunk size for layer_ffn_batch during CPU layer-major prefill.	ds4.c:14414
runtime/core	DS4_PREFILL_PROFILE_DETAIL	presence flag; unset=off	Print detailed per-stage CPU prefill timing.	ds4.c:12555
runtime/core	DS4_PREFILL_PROFILE_TOKEN	presence flag; effective within detailed prefill profiling	Print token-loop substage timings during CPU prefill.	ds4.c:14130
runtime/core	DS4_ROUTED_TOKEN_PARALLEL	Pure presence flag that forces token-parallel routed MoE, even if DS4_NO_ROUTED_TOKEN_PARALLEL is also set. When unset, token parallelism is automatic for n_tok>=64 unless the NO flag is present; smaller batches use per-token routed MoE.	Choose token-parallel CPU routed-expert evaluation inside the default shared-batch FFN prefill path.	ds4.c:12587
runtime/core	DS4_THREADS	positive integer; default min(online CPUs,12), capped by DS4_MAX_THREADS; CLI thread request overrides env	Set CPU worker-pool size.	ds4.c:1874
runtime/core	DS4_TOKEN_TIMING	Pure presence flag; default off. Any defined value times and prints each CPU token decode evaluation; sampling, emission and callbacks are outside the measured interval.	Report per-token CPU model-evaluation latency during direct argmax generation.	ds4.c:41619
runtime/core	DS4_TRACE_TOP	presence flag; unset=off	Print top-logit/token trace data during CPU generation.	ds4.c:41588
runtime/cpu	DS4_CPU_DISABLE_UNROLLED_ARGMAX	presence rollback flag; unset keeps optimized/default path	Disable/roll back cpu disable unrolled argmax.	ds4.c:41075
runtime/cpu	DS4_CPU_DUMP_LOGITS	filesystem path; unset disables read/write	Dump or select diagnostic data for cpu dump logits.	ds4.c:39086
runtime/cpu	DS4_CPU_DUMP_PREFILL_LOGITS	filesystem path; unset disables read/write	Dump or select diagnostic data for cpu dump prefill logits.	ds4.c:41606
runtime/cuda	DS4_CUDA_ATTENTION_OUTPUT_A_CUBLAS_MIN	integer tokens; default 2; accepted range 2..4095, otherwise 2	Set the token-count threshold for using cuBLAS on attention output-A.	ds4_cuda.cu:23925
runtime/cuda	DS4_CUDA_ATTENTION_OUTPUT_PRELOAD	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Allow attention-output Q8 weights to be preloaded into the selective F16 cache.	ds4_cuda.cu:2402
runtime/cuda	DS4_CUDA_ATTN_OUTPUT_PROFILE	presence diagnostic flag; default off; any defined value including 0 enables	Measure and print CUDA attention-output stage timings.	ds4_cuda.cu:23910
runtime/cuda	DS4_CUDA_ATTN_Q_B_F32_CACHE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Enable an F32-derived-weight cache for attention Q-B weights.	ds4_cuda.cu:2414
runtime/cuda	DS4_CUDA_BUILD_ARTIFACTS	boolean-ish, default on for eligible derived artifacts; only exact 0 disables	Control construction of eligible CUDA derived/repacked weight artifacts.	ds4_cuda.cu:8440
